method,train_word_error,test_word_error,train_char_error,test_char_error,train_time,test_time,repeat_index,window_radius,window_size,n_train,n_test,train_word_acc,test_word_acc,train_char_acc,test_char_acc
fixed_point,0.49375,0.5549999999999999,0.13912843130801134,0.16367476240760293,3.2572802919894457,0.23739808308891952,2,0,1,4000,1000,0.50625,0.44500000000000006,0.8608715686919887,0.8363252375923971
fixed_point,0.135,0.70375,0.023027606960617564,0.22991918192314031,2.2328517499845475,0.24205487500876188,0,1,3,1000,4000,0.865,0.29625,0.9769723930393824,0.7700808180768597
fixed_point,0.127,0.7070000000000001,0.020461699895068186,0.22957737192589178,2.1921585828531533,0.25494362507015467,1,1,3,1000,4000,0.873,0.2929999999999999,0.9795383001049318,0.7704226280741082
fixed_point,0.14,0.71925,0.02259960809928152,0.2363462363462363,2.3647240418940783,0.3195956249255687,2,1,3,1000,4000,0.86,0.28075000000000006,0.9774003919007185,0.7636537636537637
fixed_point,0.33640000000000003,0.6212,0.07265069755198739,0.18657385434794072,3.8634404160548,0.23474750015884638,0,1,3,2500,2500,0.6636,0.3788,0.9273493024480126,0.8134261456520593
fixed_point,0.3288,0.6172,0.07109502072511675,0.18593576379702625,3.93246554187499,0.23344400012865663,1,1,3,2500,2500,0.6712,0.38280000000000003,0.9289049792748832,0.8140642362029737
fixed_point,0.3216,0.6235999999999999,0.0685729275970619,0.19324796274738065,4.019820125075057,0.357686584116891,2,1,3,2500,2500,0.6784,0.37640000000000007,0.9314270724029381,0.8067520372526193
fixed_point,0.39425,0.587,0.09407067674134684,0.16664488302182723,6.862474041990936,0.27149266679771245,0,1,3,4000,1000,0.60575,0.41300000000000003,0.9059293232586532,0.8333551169781728
fixed_point,0.40449999999999997,0.558,0.09545125403199262,0.15628299894403375,5.693672917084768,0.23520379117690027,1,1,3,4000,1000,0.5955,0.44199999999999995,0.9045487459680074,0.8437170010559663
fixed_point,0.39725,0.5569999999999999,0.09355167538061882,0.15754604478600764,5.534585874993354,0.2341899999883026,2,1,3,4000,1000,0.60275,0.44300000000000006,0.9064483246193812,0.8424539552139924
fixed_point,0.0020000000000000018,0.66425,0.00026831231553525736,0.2176108051403095,2.528287125052884,0.2592910409439355,0,2,5,1000,4000,0.998,0.33575,0.9997316876844647,0.7823891948596905
fixed_point,0.008000000000000007,0.67325,0.0010462987182841,0.2162509897070467,2.635050625074655,0.2566394580062479,1,2,5,1000,4000,0.992,0.32675,0.9989537012817159,0.7837490102929533
fixed_point,0.0050000000000000044,0.6745,0.0006585879873550748,0.21948890206151617,2.650792459025979,0.40679770801216364,2,2,5,1000,4000,0.995,0.3255,0.9993414120126449,0.7805110979384838
fixed_point,0.13480000000000003,0.616,0.022791872828718862,0.18270042194092828,5.240957540925592,0.2202259588520974,0,2,5,2500,2500,0.8652,0.384,0.9772081271712811,0.8172995780590717
fixed_point,0.12519999999999998,0.634,0.021511658787910948,0.19110344467095286,5.0837788339704275,0.21916041686199605,1,2,5,2500,2500,0.8748,0.366,0.978488341212089,0.8088965553290471
fixed_point,0.118,0.6008,0.01973753836384806,0.1854669464847849,5.221245625056326,0.3781429580412805,2,2,5,2500,2500,0.882,0.3992,0.9802624616361519,0.8145330535152151
fixed_point,0.22550000000000003,0.587,0.04445910290237465,0.16771406127258448,7.2942616660147905,0.21679225005209446,0,2,5,4000,1000,0.7745,0.41300000000000003,0.9555408970976254,0.8322859387274155
fixed_point,0.22250000000000003,0.562,0.043982775056704226,0.16518508690460398,6.687148375203833,0.19857383286580443,1,2,5,4000,1000,0.7775,0.43799999999999994,0.9560172249432958,0.834814913095396
fixed_point,0.21699999999999997,0.567,0.042404917655566865,0.16690991110521425,7.226827833103016,0.3302380829118192,2,2,5,4000,1000,0.783,0.43300000000000005,0.9575950823444331,0.8330900888947858
